country,Country Code,population
Afghanistan,AFG,37172386
Albania,ALB,2866376
Algeria,DZA,42228429
American Samoa,ASM,55465
Andorra,AND,77006
Angola,AGO,30809762
Antigua and Barbuda,ATG,96286
Argentina,ARG,44494502
Armenia,ARM,2951776
Aruba,ABW,105845
Australia,AUS,24992369
Austria,AUT,8847037
Azerbaijan,AZE,9942334
"Bahamas, The",BHS,385640
Bahrain,BHR,1569439
Bangladesh,BGD,161356039
Barbados,BRB,286641
Belarus,BLR,9485386
Belgium,BEL,11422068
Belize,BLZ,383071
Benin,BEN,11485048
Bermuda,BMU,63968
Bhutan,BTN,754394
Bolivia,BOL,11353142
Bosnia and Herzegovina,BIH,3323929
Botswana,BWA,2254126
Brazil,BRA,209469333
British Virgin Islands,VGB,29802
Brunei Darussalam,BRN,428962
Bulgaria,BGR,7024216
Burkina Faso,BFA,19751535
Burundi,BDI,11175378
Cabo Verde,CPV,543767
Cambodia,KHM,16249798
Cameroon,CMR,25216237
Canada,CAN,37058856
Cayman Islands,CYM,64174
Central African Republic,CAF,4666377
Chad,TCD,15477751
Channel Islands,CHI,170499
Chile,CHL,18729160
China,CHN,1392730000
Colombia,COL,49648685
Comoros,COM,832322
"Congo, Dem. Rep.",COD,84068091
"Congo, Rep.",COG,5244363
Costa Rica,CRI,4999441
Cote d'Ivoire,CIV,25069229
Croatia,HRV,4089400
Cuba,CUB,11338138
Curacao,CUW,159849
Cyprus,CYP,1189265
Czech Republic,CZE,10625695
Denmark,DNK,5797446
Djibouti,DJI,958920
Dominica,DMA,71625
Dominican Republic,DOM,10627165
Ecuador,ECU,17084357
"Egypt, Arab Rep.",EGY,98423595
El Salvador,SLV,6420744
Equatorial Guinea,GNQ,1308974
Eritrea,ERI,..
Estonia,EST,1320884
Eswatini,SWZ,1136191
Ethiopia,ETH,109224559
Faroe Islands,FRO,48497
Fiji,FJI,883483
Finland,FIN,5518050
France,FRA,66987244
French Polynesia,PYF,277679
Gabon,GAB,2119275
"Gambia, The",GMB,2280102
Georgia,GEO,3731000
Germany,DEU,82927922
Ghana,GHA,29767108
Gibraltar,GIB,33718
Greece,GRC,10727668
Greenland,GRL,56025
Grenada,GRD,111454
Guam,GUM,165768
Guatemala,GTM,17247807
Guinea,GIN,12414318
Guinea-Bissau,GNB,1874309
Guyana,GUY,779004
Haiti,HTI,11123176
Honduras,HND,9587522
"Hong Kong SAR, China",HKG,7451000
Hungary,HUN,9768785
Iceland,ISL,353574
India,IND,1352617328
Indonesia,IDN,267663435
"Iran, Islamic Rep.",IRN,81800269
Iraq,IRQ,38433600
Ireland,IRL,4853506
Isle of Man,IMN,84077
Israel,ISR,8883800
Italy,ITA,60431283
Jamaica,JAM,2934855
Japan,JPN,126529100
Jordan,JOR,9956011
Kazakhstan,KAZ,18276499
Kenya,KEN,51393010
Kiribati,KIR,115847
"Korea, Rep.",KOR,51635256
Kosovo,XKX,1845300
Kuwait,KWT,4137309
Kyrgyz Republic,KGZ,6315800
Lao PDR,LAO,7061507
Latvia,LVA,1926542
Lebanon,LBN,6848925
Lesotho,LSO,2108132
Liberia,LBR,4818977
Libya,LBY,6678567
Liechtenstein,LIE,37910
Lithuania,LTU,2789533
Luxembourg,LUX,607728
"Macao SAR, China",MAC,631636
Madagascar,MDG,26262368
Malawi,MWI,18143315
Malaysia,MYS,31528585
Maldives,MDV,515696
Mali,MLI,19077690
Malta,MLT,483530
Marshall Islands,MHL,58413
Mauritania,MRT,4403319
Mauritius,MUS,1265303
Mexico,MEX,126190788
"Micronesia, Fed. Sts.",FSM,112640
Moldova,MDA,3545883
Monaco,MCO,38682
Mongolia,MNG,3170208
Montenegro,MNE,622345
Morocco,MAR,36029138
Mozambique,MOZ,29495962
Myanmar,MMR,53708395
Namibia,NAM,2448255
Nauru,NRU,12704
Nepal,NPL,28087871
Netherlands,NLD,17231017
New Caledonia,NCL,284060
New Zealand,NZL,4885500
Nicaragua,NIC,6465513
Niger,NER,22442948
Nigeria,NGA,195874740
North Macedonia,MKD,2082958
Northern Mariana Islands,MNP,56882
Norway,NOR,5314336
Oman,OMN,4829483
Pakistan,PAK,212215030
